LicenseSerialNumber,LicenseTypeName,LicenseClassCode,LicenseTypeCode,AgencyZoneOfficeName,AgencyZoneOfficeNumber,CountyNameLicensee,PremisesName,DBA,Address1,Address2,City,State,Zip,LicenseCertificateNumber,LicenseOriginalIssueDate,LicenseEffectiveDate,LicenseExpirationDate,Latitude,Longitude,Location,add
1223242,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,M & G TAPAS REST. CORP.,EL PORRON,1123 1ST AVE,E 61ST & E 62ND STREETS,NEW YORK,NY,10021,847173,8/10/2009,8/1/2015,7/31/2017,40.76122487,-73.96087158,"(40.76122487, -73.96087158)",1123 1ST AVE   NEW YORK   10021
1223250,RESTAURANT WINE,341,RW,New York City,1,KINGS,SHENG HONG CORP,FUGU JAPANESE CUISINE,6804 BAY PKWY,68TH STREET AND BAY RIDGE AVE,BROOKLYN,NY,11204,828829,7/20/2009,7/1/2015,6/30/2017,40.61202907,-73.98340468,"(40.61202907, -73.98340468)",6804 BAY PKWY   BROOKLYN   11204
1223286,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,SPORTS ZONE CAFE INC,MIMOSA CAFE,253 271 SHERMAN AVENUE,ISHAM ST & 207TH STREET,NEW YORK,NY,10034,804106,7/3/2009,4/1/2014,3/31/2016,40.86635054,-73.91831979,"(40.86635054, -73.91831979)",253 271 SHERMAN AVENUE   NEW YORK   10034
1223340,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NEW TANGS GARDEN INC,,1328 3RD AVENUE,76TH ST AND 3RD AVE,NEW YORK,NY,10021,816671,9/15/2009,9/1/2015,8/31/2017,40.77232611,-73.95879108,"(40.77232611, -73.95879108)",1328 3RD AVENUE   NEW YORK   10021
1223430,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,THE IRON HORSE NYC INC,THE IRON HORSE NYC,32 CLIFF STREET,,NEW YORK,NY,10038,850425,8/18/2009,8/1/2015,7/31/2017,40.70802144,-74.00557618,"(40.70802144, -74.00557618)",32 CLIFF STREET   NEW YORK   10038
1223474,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,325 CHURCH ST COMPANY LLC,SALUGGI'S,325 CHURCH STREET,LISPENARD ST & CANAL ST,NEW YORK,NY,10013,850948,9/8/2009,9/1/2015,8/31/2017,40.72003923,-74.0038033,"(40.72003923, -74.0038033)",325 CHURCH STREET   NEW YORK   10013
1223501,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,222 FRANKLIN STREET LLC,ANELLA,222 FRANKLIN STREET,HURON ST AND GREEN ST,BROOKLYN,NY,11222,850245,7/24/2009,7/1/2015,6/30/2017,40.73331517,-73.95808666,"(40.73331517, -73.95808666)",222 FRANKLIN STREET   BROOKLYN   11222
1223542,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,E D H DIAZ RESTAURANT LLC,CANCUN MEXICAN RESTAURANT,937 8TH AVE,56 AND 57 ST,NEW YORK,NY,10019,856419,12/29/2009,12/1/2015,11/30/2017,40.7656536,-73.98362861,"(40.7656536, -73.98362861)",937 8TH AVE   NEW YORK   10019
1223577,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,WEST 11TH STREET CAFE INC,11TH STREET CAFE,327 W 11TH STREET,ON W 11TH ST BETWEEN WASHINGTO,NEW YORK,NY,10014,816894,10/23/2009,10/1/2015,9/30/2017,40.73569624,-74.00737802,"(40.73569624, -74.00737802)",327 W 11TH STREET   NEW YORK   10014
1223586,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,RARE CHELSEA RESTAURANT GROUP LLC,RARE BAR AND GRILL,152 W 26TH STREET ROOF,,NEW YORK,NY,10001,835673,6/24/2010,6/1/2014,5/31/2016,40.74543016,-73.99291671,"(40.74543016, -73.99291671)",152 W 26TH STREET ROOF   NEW YORK   10001
1223601,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,DON PABLO INC,LIBERTADOR,1725 1727 2ND AVENUE,89TH & 90TH STREETS,NEW YORK,NY,10128,854055,1/15/2010,1/1/2016,12/31/2017,40.77991925,-73.95030465,"(40.77991925, -73.95030465)",1725 1727 2ND AVENUE   NEW YORK   10128
