,address,categories,id,lat,long,name,orig_add,rating,review_count
1135,374 Avenue P,"[Category(name=u'Mexican', alias=u'mexican')]",el-penacho-restaurant-brooklyn-2,40.62817777,-74.01299786,El Penacho Restaurant,7010 FORT HAMILTON PKWY BROOKLYN 11228,4.0,25
1136,177 S 4th St,"[Category(name=u'Cocktail Bars', alias=u'cocktailbars')]",dram-brooklyn-2,40.71126711,-73.96105573,Dram,177 S 4TH ST BROOKLYN 11211,4.0,198
1137,111 Stanton St,"[Category(name=u'Tex-Mex', alias=u'tex-mex'), Category(name=u'Mexican', alias=u'mexican')]",san-loco-new-york-2,40.72121334,-73.98773036,San Loco,105 STANTON ST NEW YORK 10002,3.0,193
1138,37 W 19th St,"[Category(name=u'Lounges', alias=u'lounges')]",flatiron-lounge-new-york,40.73962254,-73.99250204,Flatiron Lounge,37 W 19TH ST NEW YORK 10011,4.0,501
1139,505 Gateway Dr,"[Category(name=u'Italian', alias=u'italian'), Category(name=u'Salad', alias=u'salad'), Category(name=u'Wine Bars', alias=u'wine_bars')]",olive-garden-italian-restaurant-brooklyn-3,40.65215943,-73.86791144,Olive Garden Italian Restaurant,505 GATEWAY DRIVE BROOKLYN 11239,2.5,151
1140,122-124 Rivington St,"[Category(name=u'Bars', alias=u'bars'), Category(name=u'Tapas/Small Plates', alias=u'tapasmallplates')]",la-caverna-new-york,40.71977882,-73.98718513,La Caverna,122-124 RIVINGTON ST. NEW YORK 10002,3.0,421
1141,127 W 26th St,"[Category(name=u'Bars', alias=u'bars')]",black-door-new-york,40.74518113,-73.99217091,Black Door,127 WEST 26TH STREET NEW YORK 10001,3.5,139
1142,158 Ludlow St,"[Category(name=u'Bars', alias=u'bars'), Category(name=u'Music Venues', alias=u'musicvenues'), Category(name=u'American (Traditional)', alias=u'tradamerican')]",pianos-new-york,40.72116669,-73.98770532,Pianos,158 LUDLOW STREET NEW YORK 10002,3.5,663
1143,530 Driggs Ave,"[Category(name=u'French', alias=u'french')]",fada-brooklyn,40.71761158,-73.95591717,Fada,530 DRIGGS AVENUE BROOKLYN 11211,3.5,209
1144,845 United Nations Plz,"[Category(name=u'Restaurants', alias=u'restaurants'), Category(name=u'Lounges', alias=u'lounges')]",world-bar-new-york,40.75212692,-73.96762049,World Bar,845 UNITED NATIONS PLAZA NEW YORK 10017,3.0,43
1145,110 Chambers St,"[Category(name=u'Dive Bars', alias=u'divebars')]",the-patriot-saloon-new-york,40.71493409,-74.00810603,The Patriot Saloon,110 CHAMBERS STREET NEW YORK 10007,3.5,273
1146,9 E 45th St,"[Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Bars', alias=u'bars')]",eamonns-bar-and-grill-new-york,40.75505783,-73.97852635,Eamonn's Bar & Grill,9 EAST 45TH STREET NEW YORK 10017,3.0,96
1147,451 Meeker Ave,"[Category(name=u'Pubs', alias=u'pubs'), Category(name=u'Lounges', alias=u'lounges')]",rbar-brooklyn,,,Rbar,451 MEEKER AVENUE BROOKLYN 11222,4.0,28
1148,142 N 5th St,"[Category(name=u'Cafes', alias=u'cafes'), Category(name=u'Salad', alias=u'salad'), Category(name=u'Sandwiches', alias=u'sandwiches')]",fabianes-brooklyn,40.71670994,-73.95887147,Fabiane's,142 N 5TH ST BROOKLYN 11211,3.5,317
1149,257 Park Ave S,"[Category(name=u'Sandwiches', alias=u'sandwiches')]",cosi-sandwich-bar-new-york-2,40.73848685,-73.98745082,Cosi Sandwich Bar,257 PARK AVE SOUTH NEW YORK 10011,2.5,15
1150,502 Amsterdam Ave,"[Category(name=u'American (Traditional)', alias=u'tradamerican'), Category(name=u'Burgers', alias=u'burgers')]",harriets-kitchen-new-york,40.7865285,-73.97592357,Harriet's Kitchen,502 AMSTERDAM AVE NEW YORK 10024,3.0,102
1151,53 Stone St,"[Category(name=u'Scandinavian', alias=u'scandinavian')]",smorgas-chef-new-york-6,40.70413352,-74.01013237,Smorgas Chef,91 97 PEARL STREET/48 STONE ST NEW YORK 10004,3.5,250
1152,4 Newkirk Plz,"[Category(name=u'Caribbean', alias=u'caribbean')]",fishermans-cove-brooklyn-2,40.63571607,-73.9627724,Fisherman's Cove,5 NEWKIRK PLAZA BROOKLYN 11226,3.0,52
1153,324 Bowery,"[Category(name=u'Cuban', alias=u'cuban'), Category(name=u'Tapas Bars', alias=u'tapas')]",agozar-cuban-restaurant-new-york-7,40.72544848,-73.99219611,Agozar Cuban Restaurant,324 BOWERY NEW YORK 10012,3.5,491
1154,507 Grand St,"[Category(name=u'Burgers', alias=u'burgers'), Category(name=u'Sports Bars', alias=u'sportsbars'), Category(name=u'Breakfast & Brunch', alias=u'breakfast_brunch')]",williams-and-bailey-brooklyn,40.7110408,-73.95074866,Williams & Bailey,511 GRAND STREET BROOKLYN 11211,3.5,95
1155,665 Amsterdam Ave,"[Category(name=u'Italian', alias=u'italian')]",gennaro-new-york-2,40.79161552,-73.97204911,Gennaro,665 AMSTERDAM AVE NEW YORK 10025,3.5,297
1156,1143 1st Ave,"[Category(name=u'Japanese', alias=u'japanese'), Category(name=u'Sushi Bars', alias=u'sushi')]",sushi-seki-new-york-5,40.76184805,-73.96041027,Sushi Seki,1143 1ST AVE NEW YORK 10021,4.0,338
1157,153 Avenue U,"[Category(name=u'Italian', alias=u'italian'), Category(name=u'Cafes', alias=u'cafes')]",cafe-on-the-hill-brooklyn,40.59643873,-73.97856553,Cafe On The Hill,153 AVENUE U BROOKLYN 11223,4.0,11
1158,432 5th Ave,"[Category(name=u'Diners', alias=u'diners')]",fifth-avenue-restaurant-and-diner-brooklyn,40.66966209,-73.98596818,Fifth Avenue Restaurant & Diner,430-432 5TH AVENUE BROOKLYN 11215,3.5,100
1159,941 4th Ave,"[Category(name=u'Spanish', alias=u'spanish'), Category(name=u'American (Traditional)', alias=u'tradamerican')]",la-fe-restaurant-brooklyn,40.65422819,-74.00431393,La Fe Restaurant,941 4TH AVE BROOKLYN 11232,3.5,9
1160,20 W 20th St,"[Category(name=u'Dance Clubs', alias=u'danceclubs'), Category(name=u'Boat Charters', alias=u'boatcharters')]",city-lights-cruises-new-york,40.73988105,-73.99163439,City Lights Cruises,20 W 20TH STREET NEW YORK 10010,2.5,21
1161,409 8th Ave,"[Category(name=u'Peruvian', alias=u'peruvian'), Category(name=u'Latin American', alias=u'latin'), Category(name=u'Seafood', alias=u'seafood')]",riko-peruvian-cuisine-new-york-2,40.74985744,-73.99522828,Riko Peruvian Cuisine,407 8TH AVE NEW YORK 10001,4.0,305
1162,403 Church Ave,"[Category(name=u'Mexican', alias=u'mexican'), Category(name=u'Chinese', alias=u'chinese')]",403-restaurant-brooklyn,40.6320771,-73.97447551,403 Restaurant,4110 4112 18TH AVE BROOKLYN 11218,3.5,14
